"Name","Label","Ranking by BC","Betweenness Centrality (BC)","Degree"
"starPep_06531","Peptide","1031","2.9810351989980006","7"
"starPep_06532","Peptide","1129","2.2452392910665107","6"
"starPep_06533","Peptide","1737","0.60554680721599","4"
"starPep_06534","Peptide","1032","2.9810351989980006","7"
"starPep_06536","Peptide","1810","0.1881710521758538","3"
"starPep_06540","Peptide","352","30.157545817052384","6"
"starPep_06542","Peptide","1562","1.1863901252102689","6"
"starPep_06544","Peptide","1611","1.0223033719421766","5"
"starPep_06549","Peptide","760","4.903384392072614","4"
"starPep_06550","Peptide","761","4.903384392072614","4"
"starPep_06551","Peptide","795","3.595208745469571","3"
"starPep_06572","Peptide","1033","2.9810351989980006","7"
"starPep_06576","Peptide","1448","1.5139620525036566","6"
"starPep_06577","Peptide","1607","1.0526588151414364","5"
"starPep_06585","Peptide","1449","1.5139620525036566","6"
"starPep_06586","Peptide","1450","1.5139620525036566","6"
"starPep_06588","Peptide","1451","1.5139620525036566","6"
"starPep_06590","Peptide","911","3.4265779441737485","8"
"starPep_06600","Peptide","1696","0.7189527157930896","4"
"starPep_06601","Peptide","912","3.4265779441737485","8"
"starPep_06603","Peptide","1452","1.5139620525036566","6"
"starPep_06604","Peptide","1453","1.5139620525036566","6"
"starPep_06605","Peptide","1034","2.9810351989980006","7"
"starPep_06615","Peptide","122","123.47500165098049","8"
"starPep_06616","Peptide","123","123.47500165098049","8"
"starPep_06617","Peptide","124","123.47500165098049","8"
"starPep_06618","Peptide","125","123.47500165098049","8"
"starPep_06619","Peptide","1115","2.316021910116631","6"
"starPep_06620","Peptide","1116","2.316021910116631","6"
"starPep_06621","Peptide","1303","1.8267432539405553","7"
"starPep_06622","Peptide","1304","1.8267432539405553","7"
"starPep_06624","Peptide","1035","2.9810351989980006","7"
"starPep_06625","Peptide","1036","2.9810351989980006","7"
"starPep_06627","Peptide","1117","2.316021910116631","6"
"starPep_06628","Peptide","1118","2.316021910116631","6"
"starPep_06629","Peptide","1119","2.316021910116631","6"
"starPep_06639","Peptide","1037","2.9810351989980006","7"
"starPep_06641","Peptide","1038","2.9810351989980006","7"
"starPep_06642","Peptide","1039","2.9810351989980006","7"
"starPep_06643","Peptide","1040","2.9810351989980006","7"
"starPep_06644","Peptide","1041","2.9810351989980006","7"
"starPep_06645","Peptide","1042","2.9810351989980006","7"
"starPep_06646","Peptide","1043","2.9810351989980006","7"
"starPep_06647","Peptide","1044","2.9810351989980006","7"
"starPep_06648","Peptide","1045","2.9810351989980006","7"
"starPep_06649","Peptide","1046","2.9810351989980006","7"
"starPep_06650","Peptide","1047","2.9810351989980006","7"
"starPep_06651","Peptide","1048","2.9810351989980006","7"
"starPep_06652","Peptide","1049","2.9810351989980006","7"
"starPep_06653","Peptide","1050","2.9810351989980006","7"
"starPep_06654","Peptide","1051","2.9810351989980006","7"
"starPep_06655","Peptide","1454","1.5139620525036566","6"
"starPep_06686","Peptide","1052","2.9810351989980006","7"
"starPep_06687","Peptide","1053","2.9810351989980006","7"
"starPep_06690","Peptide","1738","0.60554680721599","4"
"starPep_06716","Peptide","1120","2.316021910116631","6"
"starPep_06722","Peptide","26","825.1899226688507","7"
"starPep_06733","Peptide","1612","1.0223033719421766","5"
"starPep_06761","Peptide","1962","0.12396977298453694","3"
"starPep_06762","Peptide","1963","0.12396977298453694","3"
"starPep_06767","Peptide","427","22.403558207968402","5"
"starPep_06789","Peptide","1121","2.316021910116631","6"
"starPep_06794","Peptide","762","4.903384392072614","4"
"starPep_06816","Peptide","1638","0.9140031831270596","4"
"starPep_06817","Peptide","1964","0.12396977298453694","3"
"starPep_06821","Peptide","1965","0.12396977298453694","3"
"starPep_06822","Peptide","1639","0.9140031831270596","4"
"starPep_06823","Peptide","1640","0.9140031831270596","4"
"starPep_06824","Peptide","1966","0.12396977298453694","3"
"starPep_06827","Peptide","1641","0.9140031831270596","4"
"starPep_06828","Peptide","1642","0.9140031831270596","4"
"starPep_06830","Peptide","1643","0.9140031831270596","4"
"starPep_06831","Peptide","1644","0.9140031831270596","4"
"starPep_06832","Peptide","1645","0.9140031831270596","4"
"starPep_06837","Peptide","1646","0.9140031831270596","4"
"starPep_06844","Peptide","1613","1.0223033719421766","5"
"starPep_06861","Peptide","1967","0.12396977298453694","3"
"starPep_06862","Peptide","1647","0.9140031831270596","4"
"starPep_06944","Peptide","473","20.126723992236155","5"
"starPep_06945","Peptide","474","20.126723992236155","5"
"starPep_06954","Peptide","1345","1.5266775834972925","5"
"starPep_06974","Peptide","1648","0.9140031831270596","4"
"starPep_07050","Peptide","763","4.903384392072614","4"
"starPep_07051","Peptide","764","4.903384392072614","4"
"starPep_07121","Peptide","1054","2.9810351989980006","7"
"starPep_07151","Peptide","1608","1.0526588151414364","5"
"starPep_07163","Peptide","1726","0.6276086558641639","4"
