"Name","Label","Betweenness Centrality (BC)","Ranking by BC","Degree"
"starPep_11074","Peptide","0.0","2551","1"
"starPep_11075","Peptide","0.0","2552","1"
"starPep_11076","Peptide","0.0","2553","1"
"starPep_11077","Peptide","0.0","2554","1"
"starPep_11078","Peptide","0.0","2555","1"
"starPep_11079","Peptide","0.0","2556","1"
"starPep_11080","Peptide","0.0","2557","1"
"starPep_11081","Peptide","0.0","2558","1"
"starPep_11082","Peptide","0.0","2559","1"
"starPep_11083","Peptide","0.0","2560","1"
"starPep_11084","Peptide","0.0","2561","1"
"starPep_11085","Peptide","0.0","2562","1"
"starPep_11086","Peptide","0.0","2563","1"
"starPep_11087","Peptide","0.0","2564","1"
"starPep_11097","Peptide","0.0","2565","1"
"starPep_11098","Peptide","0.0","2566","1"
"starPep_11143","Peptide","0.0","2567","1"
"starPep_11171","Peptide","0.0","2568","1"
"starPep_11182","Peptide","0.0","2569","1"
"starPep_11183","Peptide","0.0","2570","1"
"starPep_11186","Peptide","0.0","2571","1"
"starPep_11187","Peptide","0.0","2572","1"
"starPep_11188","Peptide","0.0","2573","1"
"starPep_11189","Peptide","0.0","2574","1"
"starPep_11190","Peptide","0.0","2575","1"
